city,locality_lower,n,real_p25,real_p75,real_median
Bangalore,cheemasandra,11,4566.666666666667,7110.286320254507,5833.333333333333
Bangalore,chandra layout extension,11,7128.378378378378,16726.190476190477,10000.0
Bangalore,benson town,11,7953.82669196711,13292.25352112676,9560.229445506691
Bangalore,bagalakunte,11,6002.5020850708925,8730.944886749367,7647.4872541879095
Delhi NCR,naraina,11,13194.444444444445,25286.094477711245,18571.428571428572
Delhi NCR,sector 16b dwarka,11,4277.777777777777,6972.222222222223,5555.555555555556
Pune,vadgaon budruk,11,3913.5943008225618,6962.365591397849,4807.692307692308
Mumbai,dadar west,11,33839.957035445754,40715.35393818544,38194.444444444445
Bangalore,yemalur,11,5000.0,7500.0,5263.1578947368425
Kolkata,paschim putiary,11,3039.3186200985647,6000.0,3511.1111111111113
Bangalore,ullal uppanagar,11,5674.242424242424,7500.0,6034.482758620689
Kolkata,jadavpur,11,4557.692307692308,6236.111111111111,5000.0
Mumbai,dahisar west,11,15506.993006993007,17070.652173913044,16279.06976744186
Pune,camp,11,7462.686567164179,10714.446444644465,8135.593220338983
Bangalore,kannamangala,11,5430.215843007427,7171.721904425387,5869.797225186766
Bangalore,kogilu,11,4411.375661375661,9200.374093991115,4916.666666666667
Pune,bhawani peth,11,7549.603174603175,9141.281512605041,8571.42857142857
Pune,bopodi,11,8246.747989420845,9950.49504950495,8571.42857142857
Pune,dapodi,11,6482.738780207134,7983.130271790065,6756.756756756757
Chennai,sembakkam,11,4864.646632814451,6140.510159965413,5688.282138794084
Delhi NCR,wazirabad,11,3866.666666666667,5586.766541822722,4444.444444444444
Delhi NCR,janakpuri,11,6555.555555555556,14116.146230007616,12083.333333333334
Bangalore,amrutahalli,11,4738.738738738739,6574.3398392652125,6382.978723404255
Bangalore,gunjur,11,4571.906281892601,6206.004710440008,5726.600985221675
Bangalore,doddabommasandra,11,4859.749552772809,6095.857418111753,5563.79821958457
Pune,marunji,11,5291.666666666666,6284.956605593057,5454.545454545455
Bangalore,kudlu gate,11,4875.68306010929,6450.026157201383,5560.098119378577
Bangalore,devanahalli,11,3380.987292277615,5443.296089385474,4500.0
Bangalore,magadi,11,5445.902595508895,9135.743950884797,7037.037037037037
Bangalore,marathahalli,11,4653.629032258064,6224.355354790137,5775.577557755775
Bangalore,nagasandra,11,6674.345802640013,8257.225542150562,7826.8876611418045
Bangalore,kpc layout,11,5764.492753623188,8309.368191721132,7135.306553911205
Bangalore,shanti nagar,11,12958.963282937366,21007.507507507507,14057.093425605537
Delhi NCR,preet vihar,10,5138.888888888889,23482.142857142855,15187.954309449637
Delhi NCR,sector 4 rohini,10,4646.534792368126,9747.274475499198,8726.190476190477
Delhi NCR,old delhi,10,5271.739130434782,8303.571428571428,6805.555555555556
Delhi NCR,mandoli,10,5980.7692307692305,9880.952380952382,8090.909090909091
Delhi NCR,kondli,10,4050.0,10833.333333333334,8069.767441860466
Delhi NCR,jasola,10,4946.428571428572,12708.333333333332,5784.851301115242
Pune,vadgaon,10,3178.4175100479397,6133.780991735537,4322.8868239455915
Pune,ranjangaon,10,3536.610343061956,4006.772009029345,3803.7825059101656
Chennai,vyasarpadi,10,6309.451219512195,8523.809523809523,6847.559616670382
Bangalore,chamrajpet,10,5319.602272727273,11996.61999034283,8133.333333333334
Bangalore,budigere,10,5710.4281137579865,6844.309939358365,6524.699406055339
Bangalore,basaveshwara nagar,10,6333.333333333334,14237.992610837438,7250.0
Pune,shirgaon,10,4098.554537519151,5440.607559614409,4260.36432160804
Pune,uttam nagar,10,3813.0225080385853,4765.3441730775685,4422.222222222223
Delhi NCR,bakkarwala,10,4469.69696969697,6022.222222222223,4658.914728682171
Delhi NCR,hari nagar,10,8358.542887754458,12479.794268919912,9500.0
Delhi NCR,hastsal,10,4479.166666666666,5831.196581196581,4685.185185185185
Delhi NCR,bhalswa,10,2560.25641025641,4385.990338164251,3477.272727272727
Delhi NCR,sector 17 rohini,10,5217.013888888889,7851.851851851852,6444.642857142857
Delhi NCR,sant nagar,10,4321.291196782935,5737.179487179486,4480.286738351255
Delhi NCR,tughlakabad,10,3840.909090909091,6683.461538461539,4847.619047619048
Chennai,sholinganallur,10,4750.0,8121.5819856034395,5712.211999381476
Chennai,saligramam,10,7129.901960784314,9937.686766966646,8666.844025539678
Chennai,pudupakkam,10,3646.961683870694,5196.2962962962965,4543.694615778275
Chennai,muttukadu,10,4694.323144104804,7586.363636363636,7098.214285714286
Kolkata,ariadaha,10,2708.8452088452086,6526.685213609619,4740.220914497908
Hyderabad,manikonda,10,5225.787284610814,6801.055697124135,6346.491228070176
Kolkata,barrackpore,10,3087.1975806451615,4955.751052141649,3462.217230867961
Chennai,kolapakkam - vandalur,10,4042.8611777997457,6652.257682047229,5474.887281115654
Bangalore,varadharaja nagar,10,4084.9673202614376,5650.401923221396,4605.263157894737
Kolkata,nagerbazar,10,3140.1426000276892,3809.090909090909,3444.199700234347
Kolkata,dum dum cantonment,10,3363.636363636364,4355.638166047088,3759.259259259259
Kolkata,haltu,10,4896.631823461092,5360.669889502762,5272.629599785119
Chennai,ambattur industrial estate,10,7225.328947368422,8302.521008403362,7937.262357414449
Kolkata,regent park,10,3307.803089814088,4489.48948948949,3823.076923076923
Mumbai,jogeshwari east,10,20045.87155963303,21950.063211125158,20951.02621418411
Chennai,ayanavaram,10,7388.563286374879,11108.695652173914,9196.31093544137
Bangalore,s.g. palya,10,4409.090909090909,14027.777777777777,6059.800664451827
Bangalore,neelasandra,10,2666.6666666666665,7300.734618916437,4314.024390243902
Bangalore,medahalli,10,4925.0,6153.061224489796,5346.691995762248
Mumbai,vikhroli east,10,12735.042735042734,21662.23404255319,15222.222222222223
Chennai,choolaimedu,10,6038.778877887788,9378.701729447997,6906.521739130435
Chennai,gerugambakkam,10,5735.5216622458,6612.903225806452,6085.917410376645
Bangalore,kadubeesanahalli,10,6001.885369532428,7289.816870144285,6428.418528983646
Mumbai,wadala,10,15679.144385026737,24553.571428571428,20517.094017094016
Bangalore,mallasandra,10,4671.139173901604,7454.545454545455,5179.69500666398
Bangalore,kodathi,10,4653.985507246376,6359.832635983264,6243.64406779661
Bangalore,kodigehalli,10,4277.233006470549,5459.88475177305,4693.359194606077
Pune,ghorpadi,10,8911.445012787724,15444.297543664325,11201.298701298701
Bangalore,harohalli,10,5286.73835125448,7351.150651573783,5997.146853921691
Pune,nerhe,10,4423.046875,7331.439393939394,5076.543522267206
Pune,kondhwa budruk,10,5405.4834054834055,7481.559536354057,6635.220125786163
Pune,kothrud,10,8936.314363143632,13515.933868455733,10367.625037436359
