listing_name,city,locality,property_type,bhk,carpet_area_sqft,price_inr,price_per_sqft_calc,baths,has_balcony
"Mercury Flats,Chettipunyam, Chennai",Chennai,Chettipunyam,Apartment,2.0,1016,3600000.0,3543.3070866141734,3,0
"UTOPIA,Indira Nagar, Adyar,Chennai",Chennai,Adyar,Apartment,3.0,1875,28000000.0,14933.333333333334,3,1
"Adayalampet, Maduravoyal,Chennai",Chennai,Maduravoyal,Apartment,2.0,950,5200000.0,5473.684210526316,3,1
Pacifica Happiness Towers,Chennai,Padur,Apartment,2.0,1300,5500000.0,4230.7692307692305,3,0
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",Chennai,Thiruvanmiyur,Villa,5.0,5050,69000000.0,13663.366336633664,5,1
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",Chennai,Thiruvanmiyur,Villa,5.0,4500,66000000.0,14666.666666666666,5,1
"Kumananchavadi evp,Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,710,3850000.0,5422.5352112676055,2,1
"Navoda,Annamalai Colony, Saligramam,Chennai",Chennai,Saligramam,Apartment,3.0,1275,9800000.0,7686.274509803921,3,1
"vinyakapuram,Venkataraman Nagar, Korattur,Chennai",Chennai,Korattur,Villa,3.0,1800,15000000.0,8333.333333333334,3,1
Narendra NPL Agastya,Chennai,Tondiarpet,Apartment,2.0,955,7700000.0,8062.82722513089,3,1
Mahindra Nova,Chennai,Chettipunyam,Apartment,2.0,836,4000000.0,4784.688995215311,3,0
Kailash Flats,Chennai,Pallavaram,Apartment,1.0,582,2900000.0,4982.817869415808,2,0
"law orchid,Thirumangalam, Anna Nagar West,Chennai",Chennai,Anna Nagar West,Apartment,2.0,775,5200000.0,6709.677419354839,2,0
"Kendriya Vihar ,Velappanchavadi, Chennai",Chennai,Velappanchavadi,Apartment,2.0,828,4500000.0,5434.782608695652,3,1
"Pudupakkam, Chennai",Chennai,Pudupakkam,Villa,3.0,1096,4500000.0,4105.839416058394,3,1
"Shine Shelters,Sakthi Avenue, Gerugambakkam,Chennai",Chennai,Gerugambakkam,Apartment,2.0,1150,4200000.0,3652.1739130434785,3,0
"Casagrand Primera,Girigori Nagar, Manapakkam,Chennai",Chennai,Manapakkam,Apartment,3.0,1652,12500000.0,7566.585956416465,3,1
Sri Rama Nivas,Chennai,West Mambalam,Apartment,3.0,1225,13000000.0,10612.244897959185,3,1
"SUMATHI BUILDERS,Yeswanth Nagar, Madambakkam,Chennai",Chennai,Madambakkam,Apartment,1.0,660,3000000.0,4545.454545454545,2,0
"Kulattur, Chennai",Chennai,Kulattur,Apartment,2.0,1100,5500000.0,5000.0,3,0
Dakshin Dhara,Chennai,Iyyappanthangal,Apartment,2.0,775,4350000.0,5612.903225806452,2,0
"Kanathur, Uthandi,Chennai",Chennai,Uthandi,Villa,3.0,3793,34000000.0,8963.88083311363,4,1
Kgeyes Apoorvaa by Kgeyes Residency,Chennai,Ambattur Industrial Estate,Apartment,3.0,1145,6500000.0,5676.855895196507,3,1
Radiance Shine,Chennai,Kalipathur,Apartment,2.0,1041,5800000.0,5571.565802113352,3,1
Radiance Shine by Radiance Realty Developers India Ltd,Chennai,Kalipathur,Apartment,2.0,1040,5800000.0,5576.923076923077,3,0
Pa Towers,Chennai,Egmore,Apartment,2.0,825,8500000.0,10303.030303030304,3,0
CasaGrand Smart Town,Chennai,Semmancheri,Apartment,2.0,791,5300000.0,6700.379266750948,2,0
MS Charan MM Cascade Phase - II,Chennai,Puzhal,Apartment,2.0,832,3800000.0,4567.307692307692,3,1
"Jerusalem flats ,Narayana Nagar, Korattur,Chennai",Chennai,Korattur,Apartment,3.0,1155,6300000.0,5454.545454545455,3,1
Mahindra Iris Court,Chennai,Chettipunyam,Apartment,3.0,1401,5500000.0,3925.7673090649537,3,0
Vijayalakshmi Viji Homes,Chennai,Urapakkam,Apartment,2.0,950,4000000.0,4210.526315789473,3,0
"Thirunagar, Jafferkhanpet,Chennai",Chennai,Jafferkhanpet,Independent House,2.0,1200,23000000.0,19166.666666666668,3,0
Sara Lotus by Sara Homes,Chennai,Thiruporur,Apartment,2.0,900,2300000.0,2555.5555555555557,3,0
"Abode by Atikramya,Aspiran Garden Colony, Kilpauk,Chennai",Chennai,Kilpauk,Apartment,4.0,2259,29800000.0,13191.677733510403,4,1
"Navalur, Chennai",Chennai,Navalur,Apartment,5.0,765,3800000.0,4967.320261437909,2,1
"Muttukadu, Chennai",Chennai,Muttukadu,Villa,3.0,2290,10000000.0,4366.812227074236,4,1
Appaswamy Arcot Terrace,Chennai,Vadapalani,Apartment,2.0,1231,16000000.0,12997.562956945572,3,0
"Kathirvedu, Puzhal,Chennai",Chennai,Puzhal,Independent House,3.0,2000,12200000.0,6100.0,2,1
"Vigneshwara Nagar, Tharapakkam,Chennai",Chennai,Tharapakkam,Villa,2.0,800,4500000.0,5625.0,4,0
"Vigneshwara Nagar, Tharapakkam,Chennai",Chennai,Tharapakkam,Villa,2.0,803,4500000.0,5603.985056039851,3,1
"La habitat apartment ,Dhanalakshmi Nagar, Madhanandapuram,Chennai",Chennai,Madhanandapuram,Apartment,1.0,660,3200000.0,4848.484848484848,2,0
"Vigneshwara Nagar, Tharapakkam,Chennai",Chennai,Tharapakkam,Villa,2.0,801,4500000.0,5617.9775280898875,3,0
Meritta,Chennai,Pudupakkam,Apartment,2.0,1336,6990000.000000001,5232.035928143713,3,0
"Arulappa nagar,Dharkast, Chennai",Chennai,Dharkast,Apartment,2.0,1008,3600000.0,3571.4285714285716,3,1
Real Value Neelkamal,Chennai,Kalipathur,Apartment,2.0,920,4000000.0,4347.826086956522,3,0
"gains,Annamalai Colony, Saligramam,Chennai",Chennai,Saligramam,Apartment,3.0,1385,14000000.0,10108.303249097473,3,0
"Green Way Paradise,Kadapperi, Tambaram Sanatoruim,Chennai",Chennai,Tambaram Sanatoruim,Apartment,2.0,1000,5000000.0,5000.0,3,0
"Villa Sakuntha,Pandur, Kumuzhi R.F.,Chennai",Chennai,Kumuzhi R.F.,Villa,2.0,1000,4400000.0,4400.0,3,0
"royal cample,Thirumudivakkam, Chennai",Chennai,Thirumudivakkam,Apartment,2.0,950,5000000.0,5263.1578947368425,3,0
"Perumathunallur, Chennai",Chennai,Perumathunallur,Independent House,2.0,850,4800000.0,5647.058823529412,3,1
COLTS VIEW APARTMENTS,Chennai,Guindy,Apartment,2.0,645,5700000.0,8837.209302325582,2,0
"Vantage Nest,Saraswathi Nagar, Neelankarai,Chennai",Chennai,Neelankarai,Apartment,2.0,972,7300000.0,7510.288065843622,3,1
"Kottur,Surya Nagar, Kotturpuram,Chennai",Chennai,Kotturpuram,Apartment,2.0,1240,12800000.0,10322.58064516129,3,0
"Sri sai ganesh homes,Nanmangalam, Chennai",Chennai,Nanmangalam,Apartment,1.0,400,2400000.0,6000.0,2,1
Amarprakash Palm Riviera,Chennai,Thirumudivakkam,Apartment,2.0,890,5000000.0,5617.9775280898875,3,1
DLF Commanders Court,Chennai,Egmore,Apartment,4.0,2583,40000000.0,15485.86914440573,4,1
Vijay Shanthi Lotus Pond,Chennai,Kalavakkam,Apartment,2.0,628,2400000.0,3821.6560509554142,2,0
Sugandha Apartment,Chennai,Pallikaranai,Apartment,5.0,575,3500000.0,6086.95652173913,2,1
"TVS Industries, Padi,Chennai",Chennai,Padi,Apartment,3.0,1213,11000000.0,9068.425391591096,3,1
Swarna Lakshmi by Swarna Construction,Chennai,Arumbakkam,Apartment,2.0,1050,8000000.0,7619.047619047619,3,0
"Rajaram Mehta Nagar, Aminjikarai,Chennai",Chennai,Aminjikarai,Apartment,3.0,1450,18000000.0,12413.793103448275,3,1
Radiance Icon,Chennai,Koyambedu,Apartment,2.0,1002,12000000.0,11976.047904191617,3,0
Purva Windermere,Chennai,Pallikaranai,Apartment,3.0,2160,14000000.0,6481.481481481482,4,1
"Balaji avenue ,Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,710,3800000.0,5352.112676056338,2,0
"Balaji avenue ,Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,710,3779999.9999999995,5323.94366197183,2,0
"Sugam flat,Subbiah Nagar, Iyyappanthangal,Chennai",Chennai,Iyyappanthangal,Apartment,1.0,735,4000000.0,5442.1768707483,2,1
"Manikandan Nagar, Thiruneermalai,Chennai",Chennai,Thiruneermalai,Apartment,1.0,560,2300000.0,4107.142857142857,2,1
Nakar Navkar Residency by Nakar Homes,Chennai,Washermanpet,Apartment,3.0,1750,12700000.0,7257.142857142857,3,1
"Ayyavoo Colony, Aminjikarai,Chennai",Chennai,Aminjikarai,Apartment,2.0,840,7400000.0,8809.52380952381,3,1
Aakam Courtyard Hygrevar,Chennai,Chettipunyam,Apartment,2.0,968,3400000.0,3512.396694214876,3,0
Jamals Luxor,Chennai,Jeevan Prakash Nagar,Apartment,2.0,1150,5000000.0,4347.826086956522,3,1
"SRI RAGHAVENDRA,Noothencheri, Vengaivasal,Chennai",Chennai,Vengaivasal,Apartment,1.0,776,2800000.0,3608.2474226804125,2,0
Shamrock Apartment,Chennai,Santhome,Apartment,3.0,1584,20000000.0,12626.262626262625,3,1
TVH Svasti,Chennai,Thoraipakkam,Apartment,1.0,635,3800000.0,5984.251968503937,2,1
Suraj Enclave - 2,Chennai,West Tambaram,Apartment,3.0,1784,6500000.0,3643.4977578475336,3,1
Macro Apoorva,Chennai,Ramapuram,Apartment,2.0,610,3500000.0,5737.704918032787,2,0
"Vivekananda Nagar, Thoraipakkam,Chennai",Chennai,Thoraipakkam,Villa,3.0,5500,17500000.0,3181.818181818182,5,1
Sri Sai Flats,Chennai,Velachery,Apartment,2.0,770,5000000.0,6493.506493506494,2,0
"Arun Excellence Niranjana,Thandalam, Chennai",Chennai,Thandalam,Apartment,1.0,500,1800000.0,3600.0,2,0
"BRICS CONSTRUCTION,Ambattur, Chennai",Chennai,Ambattur,Apartment,2.0,905,5889000.0,6507.182320441989,3,0
"swetha,Velachery, Chennai",Chennai,Velachery,Apartment,2.0,800,6500000.0,8125.0,3,1
"BRICS CONSTRUCTION,JAK Nagar, Thirumullaivoyal,Chennai",Chennai,Thirumullaivoyal,Villa,3.0,1675,7444000.0,4444.179104477612,3,1
Altis Oceanique,Chennai,Muttukadu,Apartment,3.0,1785,16000000.0,8963.58543417367,3,1
Amirtham Flats,Chennai,West Tambaram,Apartment,2.0,702,4500000.0,6410.25641025641,2,0
"Kamaraj Nagar, Choolaimedu,Chennai",Chennai,Choolaimedu,Independent House,6.0,3000,19700000.0,6566.666666666667,4,1
"SRI LAXMI ,MGR Nagar, Nesapakkam,Chennai",Chennai,Nesapakkam,Apartment,1.0,550,4000000.0,7272.727272727273,2,0
CasaGrand Sereno,Chennai,Thalambur,Apartment,2.0,965,4700000.0,4870.466321243523,3,1
"Krishna colony anna nagar east,Block I, Annanagar East,Chennai",Chennai,Annanagar East,Apartment,2.0,664,7300000.0,10993.975903614459,2,0
Palace Sai Damodhara,Chennai,Madipakkam,Apartment,2.0,891,4990000.0,5600.448933782267,3,0
"Suriyammapet, Saidapet,Chennai",Chennai,Saidapet,Independent House,6.0,2500,50000000.0,20000.0,4,1
DHANYA FLATS,Chennai,Tharapakkam,Apartment,2.0,813,3900000.0,4797.047970479704,3,0
DABC Orchid,Chennai,Ponmar,Apartment,2.0,980,4200000.0,4285.714285714285,3,0
"Thirumangalam, Anna Nagar West,Chennai",Chennai,Anna Nagar West,Apartment,2.0,890,10700000.0,12022.47191011236,3,0
Madeena Anira Apartment,Chennai,Virugambakkam,Apartment,2.0,1000,6000000.0,6000.0,3,0
"Kovalam, Chennai",Chennai,Kovalam,Villa,3.0,2295,9500000.0,4139.433551198257,4,1
"Manikantan,Udaya Nagar Extension, Porur,Chennai",Chennai,Porur,Apartment,1.0,629,4200000.0,6677.265500794912,2,0
"Swagatham Apartments,Nungambakkam, Chennai",Chennai,Nungambakkam,Apartment,2.0,950,10000000.0,10526.315789473685,3,1
"Akash Flat ,Rose Nagar, Kovilambakkam,Chennai",Chennai,Kovilambakkam,Apartment,2.0,1000,3500000.0,3500.0,3,1
"KK Nagar, Mangadu,Chennai",Chennai,Mangadu,Villa,2.0,1100,7000000.0,6363.636363636364,3,0
"Normal fla,Manthope Colony, Ashok Nagar,Chennai",Chennai,Ashok Nagar,Apartment,3.0,1700,25000000.0,14705.882352941177,3,1
Casagrand Crescendo,Chennai,Ambattur Industrial Estate,Apartment,2.0,625,5000000.0,8000.0,2,1
Casagrand Zenith,Chennai,Medavakkam,Apartment,2.0,840,5800000.0,6904.761904761905,3,1
Vijay Shanthi Lotus Pond,Chennai,Kalavakkam,Apartment,3.0,1141,5000000.0,4382.120946538124,3,0
"BRICS CONSTRUCTION,JAK Nagar, Thirumullaivoyal,Chennai",Chennai,Thirumullaivoyal,Apartment,2.0,1000,4889000.0,4889.0,3,1
Tens Oak Tree Apartments,Chennai,Kannathur Reddy Kuppam,Apartment,1.0,660,2700000.0,4090.909090909091,2,1
"Alandur, Chennai",Chennai,Alandur,Apartment,2.0,666,6900000.0,10360.36036036036,2,0
"Balakrishna nivas,Subhash Nagar, Chromepet,Chennai",Chennai,Chromepet,Apartment,3.0,940,6000000.0,6382.978723404255,3,1
"Varsha homes ,KK Nagar, Mangadu,Chennai",Chennai,Mangadu,Villa,2.0,1036,7000000.0,6756.756756756757,3,0
"Thirumudivakkam, Chennai",Chennai,Thirumudivakkam,Villa,3.0,1001,7500000.0,7492.507492507492,3,0
Sakthi Flats,Chennai,Korattur,Apartment,1.0,650,3500000.0,5384.615384615385,2,1
Ceebros Shyamala Gardens,Chennai,Saligramam,Apartment,3.0,1330,17000000.0,12781.954887218046,3,1
"Iyyappanthangal, Chennai",Chennai,Iyyappanthangal,Independent House,2.0,750,6500000.0,8666.666666666666,2,1
Akshaya January,Chennai,Senganmal,Apartment,3.0,1396,5997000.0,4295.845272206304,3,1
"Vista Avenues,Velachery, Chennai",Chennai,Velachery,Apartment,2.0,1192,7000000.0,5872.48322147651,3,1
Radiance Empire,Chennai,Vyasarpadi,Apartment,3.0,1405,16000000.0,11387.900355871887,3,1
"Villa shakunta,Guduvancheri, Chennai",Chennai,Guduvancheri,Villa,2.0,1200,6000000.0,5000.0,3,0
Kgeyes Samyuktha,Chennai,Selaiyur,Apartment,2.0,970,5300000.0,5463.917525773196,3,0
"BRICS CONSTRUCTION,Ambattur, Chennai",Chennai,Ambattur,Apartment,3.0,1430,7000000.0,4895.104895104895,3,0
ARRR's Pavithram,Chennai,Kulattur,Apartment,3.0,1465,11500000.0,7849.829351535836,3,0
Steps Stone Aksharas,Chennai,Perumbakkam,Apartment,3.0,1307,6200000.0,4743.687834736037,3,0
SIS Meridian by South India Shelters ,Chennai,Velachery,Apartment,3.0,1300,13000000.0,10000.0,3,0
"Preetha,Velachery, Chennai",Chennai,Velachery,Apartment,2.0,980,8000000.0,8163.265306122449,3,0
Nakshatra Apartment,Chennai,Mangadu,Apartment,1.0,540,2200000.0,4074.074074074074,2,0
"BRICS CONSTRUCTION,Ambattur, Chennai",Chennai,Ambattur,Apartment,3.0,1430,7000000.0,4895.104895104895,3,1
"Brindhavan apartment Mazhilam street Chakrapani nagar ,Sakthi Avenue, Gerugambakkam,Chennai",Chennai,Gerugambakkam,Apartment,2.0,710,3650000.0,5140.845070422535,2,1
"Temple bay apartmrnt,Pudupakkam, Chennai",Chennai,Pudupakkam,Apartment,2.0,957,3200000.0,3343.7826541274817,3,0
"Velachery, Chennai",Chennai,Velachery,Villa,4.0,2400,27000000.0,11250.0,4,1
"Nanmangalam, Chennai",Chennai,Nanmangalam,Apartment,2.0,852,5500000.0,6455.399061032864,3,0
"Mahavir subiksha,Ranganathapuram, Medavakkam,Chennai",Chennai,Medavakkam,Apartment,2.0,975,5000000.0,5128.205128205128,3,0
Dream Veppampattu Villas,Chennai,Veppampattu,Independent House,2.0,966,3850000.0,3985.5072463768115,3,0
Rajparis Crystal Spring,Chennai,Sithalapakkam,Apartment,2.0,945,4900000.0,5185.185185185185,3,1
"Sathyam Homes Pvt Ltd,Hastinapuram, Chromepet,Chennai",Chennai,Chromepet,Apartment,3.0,1440,7500000.0,5208.333333333333,3,0
"Pavithram,Annai Indra Nagar, West Tambaram,Chennai",Chennai,West Tambaram,Apartment,2.0,600,5500000.0,9166.666666666666,2,1
Dream Veppampattu Villas,Chennai,Veppampattu,Independent House,2.0,999,3900000.0,3903.903903903904,3,0
"Sabari arul,Rajakilpakkam, Chennai",Chennai,Rajakilpakkam,Apartment,2.0,947,4200000.0,4435.058078141499,3,1
"Vinoth valentine state bank officers colony,Jamaliya Nagar, Perambur,Chennai",Chennai,Perambur,Apartment,2.0,800,5800000.0,7250.0,2,1
"sunitha ,Pallikaranai, Chennai",Chennai,Pallikaranai,Apartment,2.0,741,3600000.0,4858.299595141701,2,0
"Ekkatuthangal, Chennai",Chennai,Ekkatuthangal,Independent House,4.0,2850,32500000.0,11403.508771929824,4,1
Sri Manishaa Green Garden,Chennai,Kasturi Bai Nagar,Apartment,2.0,1693,6700000.0,3957.4719432959246,3,1
"Adithyaa Apartment,Pallikaranai, Chennai",Chennai,Pallikaranai,Apartment,2.0,1010,5959000.0,5900.0,3,0
Casa Grande Miro,Chennai,Adhanur,Apartment,2.0,1200,5500000.0,4583.333333333333,3,0
"Mangala Nagar, Porur,Chennai",Chennai,Porur,Independent House,1.0,620,3500000.0,5645.1612903225805,2,0
"Santhosapuram, Medavakkam,Chennai",Chennai,Medavakkam,Independent House,3.0,1500,8700000.0,5800.0,3,0
"Srirams Haritha,Pallikaranai, Chennai",Chennai,Pallikaranai,Apartment,2.0,985,4700000.0,4771.573604060914,3,1
"Apartment  Tambaram,Tambaram East, Chennai",Chennai,Tambaram East,Apartment,2.0,958,5230000.0,5459.290187891441,3,0
"Madambakkam, Chennai",Chennai,Madambakkam,Apartment,3.0,1320,7500000.0,5681.818181818182,3,0
Pacifica Happiness Towers,Chennai,Padur,Apartment,3.0,1441,6500000.0,4510.756419153366,3,0
"Panchayat Colony, Pammal,Chennai",Chennai,Pammal,Apartment,5.0,733,4000000.0,5457.025920873124,2,1
"Padma tower apartments ,Shakthi Nagar, Kodambakkam,Chennai",Chennai,Kodambakkam,Apartment,2.0,1096,8000000.0,7299.270072992701,3,0
"GOOD SIGN,Andal Nagar, Adambakkam,Chennai",Chennai,Adambakkam,Apartment,2.0,1010,9631000.0,9535.643564356436,3,0
"Nithya palace Ayansvaram,Chinna Chembarambakkam, Ayanavaram,Chennai",Chennai,Ayanavaram,Apartment,2.0,750,8500000.0,11333.333333333334,2,0
"Narmada Constructions,Anthony Nagar, Kolathur,Chennai",Chennai,Kolathur,Apartment,2.0,1160,5100000.0,4396.551724137931,3,1
Anandam Apartments,Chennai,Korattur,Apartment,2.0,810,4500000.0,5555.555555555556,3,0
"Lakshmi nivas I,Agaramthen, Chennai",Chennai,Agaramthen,Apartment,2.0,1200,3400000.0,2833.3333333333335,3,1
"Vistas,Andal Nagar, Adambakkam,Chennai",Chennai,Adambakkam,Apartment,2.0,1306,10700000.0,8192.955589586523,3,1
Annai Flats,Chennai,Nungambakkam,Apartment,2.0,750,6800000.0,9066.666666666666,2,1
Kcs Dharshans Flats,Chennai,Selaiyur,Apartment,2.0,1100,4800000.0,4363.636363636364,3,1
Jayam Flats,Chennai,Pallavaram,Apartment,2.0,779,5357000.0,6876.765083440308,2,1
"Peerakankaranai, Chennai",Chennai,Peerakankaranai,Apartment,2.0,850,5500000.0,6470.588235294118,3,0
"Peerakankaranai, Chennai",Chennai,Peerakankaranai,Apartment,5.0,1000,6500000.0,6500.0,3,0
"Peerakankaranai, Chennai",Chennai,Peerakankaranai,Apartment,3.0,1400,6800000.0,4857.142857142857,3,0
Ashok Manor Ruby Builders,Chennai,West Tambaram,Apartment,2.0,821,4500000.0,5481.120584652863,3,0
"Snigdha Suralaya,Ram Nagar, Madipakkam,Chennai",Chennai,Madipakkam,Apartment,2.0,850,5600000.0,6588.235294117647,3,1
"Indian Flats,Tiru Vi Ka Nagar, Perambur,Chennai",Chennai,Perambur,Apartment,3.0,1201,8900000.0,7410.491257285596,3,0
"Southern Foundation,Tiruvenkadam Nagar, Ambattur,Chennai",Chennai,Ambattur,Apartment,2.0,650,3700000.0,5692.307692307692,2,0
sree homes,Chennai,Urapakkam,Apartment,2.0,921,3700000.0,4017.3724212812162,3,1
"Unamancheri, Chennai",Chennai,Unamancheri,Apartment,2.0,754,3000000.0,3978.7798408488065,2,0
"Adayalampet, Maduravoyal,Chennai",Chennai,Maduravoyal,Villa,3.0,1842,12000000.0,6514.657980456026,3,1
"SBI Staff Colony, Arumbakkam,Chennai",Chennai,Arumbakkam,Independent House,8.0,6132,35000000.0,5707.762557077625,3,1
"Gomathipuram, Thirunindravur,Chennai",Chennai,Thirunindravur,Independent House,1.0,560,2500000.0,4464.285714285715,2,1
VGP Gokul Nagar by Invicon Properties,Chennai,Medavakkam,Apartment,2.0,980,5500000.0,5612.244897959184,3,1
VGP Gokul Nagar by Invicon Properties,Chennai,Medavakkam,Apartment,3.0,1050,6000000.0,5714.285714285715,3,0
"arun excello,Gandhi Nagar, Oragadam Ambattur,Chennai",Chennai,Oragadam Ambattur,Apartment,2.0,875,8200000.0,9371.42857142857,3,0
"Brics ambattur ,Ambattur, Chennai",Chennai,Ambattur,Apartment,3.0,1260,6200000.0,4920.6349206349205,3,0
"Brics ambattur ,Ambattur, Chennai",Chennai,Ambattur,Apartment,2.0,940,5600000.0,5957.446808510638,3,1
"Santhi Nagar, Chengalpattu,Chennai",Chennai,Chengalpattu,Villa,1.0,400,1800000.0,4500.0,2,1
Guru Enclave,Chennai,Perungalathur,Apartment,2.0,710,3200000.0,4507.042253521126,2,0
"Block I, Annanagar East,Chennai",Chennai,Annanagar East,Apartment,2.0,1200,12500000.0,10416.666666666666,3,0
Dream Veppampattu Villas,Chennai,Veppampattu,Independent House,2.0,999,3900000.0,3903.903903903904,3,1
"Goodsign,Kamakoti Nagar, Pallikaranai,Chennai",Chennai,Pallikaranai,Apartment,2.0,691,5200000.0,7525.325615050651,2,0
Thilaga Thilaga Homes,Chennai,Vyasarpadi,Apartment,2.0,1025,6650000.0,6487.804878048781,3,1
Dream Veppampattu Villas,Chennai,Veppampattu,Independent House,2.0,990,3900000.0,3939.3939393939395,3,0
"Mithila Caslte,Rajakilpakkam, Chennai",Chennai,Rajakilpakkam,Apartment,2.0,880,4200000.0,4772.727272727273,3,0
"Surabhi flats,Perungalathur, Chennai",Chennai,Perungalathur,Apartment,2.0,670,3300000.0,4925.373134328358,2,0
Radiance Empire,Chennai,Vyasarpadi,Apartment,2.0,1000,8500000.0,8500.0,3,1
"Jmr flats,Korattur Tank, Korattur,Chennai",Chennai,Korattur,Apartment,1.0,600,3000000.0,5000.0,2,0
Casagrand ECR 14,Chennai,Kanathur Reddikuppam,Apartment,3.0,1821,12200000.0,6699.615595826469,3,1
"Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,901,6500000.0,7214.206437291898,3,1
"Sreenivas Apartment Pallikaranai,Kaietha Milleth Nagar, Pallikaranai,Chennai",Chennai,Pallikaranai,Apartment,2.0,780,3800000.0,4871.794871794872,2,1
"Veppampattu, Chennai",Chennai,Veppampattu,Independent House,2.0,850,3600000.0,4235.294117647059,3,1
Project Nolambur,Chennai,Mogappair,Apartment,2.0,973,8500000.0,8735.868448098663,3,0
"MCKR constructions,Shiridi Sai Nagar, Poonamallee,Chennai",Chennai,Poonamallee,Apartment,2.0,825,3700000.0,4484.848484848485,3,0
Pearl Elegance,Chennai,Medavakkam,Apartment,2.0,902,4800000.0,5321.507760532151,3,1
"pks sai,Rajakilpakkam, Chennai",Chennai,Rajakilpakkam,Apartment,2.0,890,7000000.0,7865.168539325843,3,0
"CCC TOWERS SOUNDARAJAN STREET,Parthasarathy Puram, T Nagar,Chennai",Chennai,T Nagar,Apartment,1.0,450,6100000.0,13555.555555555555,2,1
"adityasu,Santhosapuram, Medavakkam,Chennai",Chennai,Medavakkam,Apartment,2.0,923,5200000.0,5633.802816901409,3,0
RC Westminister Apartments,Chennai,Kodungaiyur East,Apartment,2.0,1010,5200000.0,5148.514851485149,3,1
Shiyam Thirth,Chennai,Villivakkam,Apartment,1.0,610,3400000.0,5573.770491803279,2,1
Plaza Serene Acres by Plaza Group,Chennai,Thoraipakkam,Apartment,3.0,1346,8749000.0,6500.0,3,0
"Saara Garden,Vijaya Gardens, Valasaravakkam,Chennai",Chennai,Valasaravakkam,Apartment,2.0,1100,7500000.0,6818.181818181818,3,1
"Mangala apartment,Sadasivam Nagar, Madipakkam,Chennai",Chennai,Madipakkam,Apartment,1.0,510,2800000.0,5490.196078431372,2,1
Ganapathy Apartments,Chennai,Villivakkam,Apartment,2.0,825,4500000.0,5454.545454545455,3,1
"Saraswathi Nagar, Neelankarai,Chennai",Chennai,Neelankarai,Apartment,3.0,1400,10000000.0,7142.857142857143,3,0
Prince Apartments,Chennai,Villivakkam,Apartment,2.0,790,5800000.0,7341.772151898735,2,0
"Nammalwarpet, Ayanavaram,Chennai",Chennai,Ayanavaram,Independent House,5.0,3400,25000000.0,7352.941176470588,6,1
"Urapakkam, Chennai",Chennai,Urapakkam,Apartment,2.0,840,2700000.0,3214.285714285714,3,0
"Urapakkam, Chennai",Chennai,Urapakkam,Apartment,2.0,840,2700000.0,3214.285714285714,3,0
RC Westminister Apartments,Chennai,Kodungaiyur West,Apartment,2.0,1010,5200000.0,5148.514851485149,3,1
 Reliance Apartment,Chennai,Annanagar East,Apartment,2.0,880,9240000.0,10500.0,3,0
Guru Raghavendra Nagar,Chennai,Thalambur,Independent House,3.0,1000,5000000.0,5000.0,3,0
"anandan apartments,Parthasarathy Puram, T Nagar,Chennai",Chennai,T Nagar,Apartment,1.0,350,3150000.0,9000.0,1,1
"Sri Ganesh Construction ,Kamakshi Nagar, Anakaputhur,Chennai",Chennai,Anakaputhur,Independent House,2.0,1364,8000000.0,5865.102639296188,3,1
"SMS flat ashok pillar,VSM Garden, Jafferkhanpet,Chennai",Chennai,Jafferkhanpet,Apartment,2.0,600,3800000.0,6333.333333333333,2,1
"Sri Ram Nagar, Alwarpet,Chennai",Chennai,Alwarpet,Apartment,2.0,1250,17500000.0,14000.0,3,0
"Bagya Enclave,Nanmangalam, Chennai",Chennai,Nanmangalam,Apartment,2.0,860,3900000.0,4534.883720930233,3,0
"Breeze,Jamaliya Nagar, Perambur,Chennai",Chennai,Perambur,Apartment,3.0,3000,20000000.0,6666.666666666667,3,1
Arihant Panache,Chennai,Arumbakkam,Apartment,3.0,1564,15000000.0,9590.79283887468,3,0
Sugam Apartments,Chennai,West Tambaram,Apartment,2.0,790,4000000.0,5063.291139240507,2,1
"SHREE LAKSMI VILLA,Luz, Mylapore,Chennai",Chennai,Mylapore,Apartment,2.0,900,11000000.0,12222.222222222223,3,0
Venus Nest Apartments by Venus Foundations Pvt Ltd,Chennai,Tharapakkam,Apartment,2.0,1023,7123000.0,6962.854349951124,3,0
"Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,710,3800000.0,5352.112676056338,2,0
"Sembiyan, Perambur,Chennai",Chennai,Perambur,Independent House,7.0,3000,22000000.0,7333.333333333333,5,1
Parasurama,Chennai,Arumbakkam,Apartment,2.0,985,9500000.0,9644.67005076142,3,0
EPA Pacific City,Chennai,Kelambakkam,Apartment,3.0,1364,5500000.0,4032.2580645161293,3,1
Indira Ekkaduthangal by Indira Foundations (P) Ltd,Chennai,Ekkatuthangal,Independent House,4.0,6000,32000000.0,5333.333333333333,4,1
Casagrand Cherry Pick,Chennai,Perumbakkam,Apartment,1.0,618,3500000.0,5663.430420711974,2,0
